track_name,artist_name,artist_count,streams,days_released,is_ranked,chart_rank,inverse_rank,num_playlists,is_minor,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
505,Arctic Monkeys,1,1217120710,6199,1,25,0.04,13985,0,140,0.52,0.2,0.85,0.0,0.0,0.07,0.05
La Bachata,Manuel Turizo,1,1214083358,684,1,45,0.022222222222222223,6804,1,125,0.84,0.85,0.68,0.58,0.0,0.22,0.04
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1210599487,9230,0,0,0.0,33966,0,93,0.81,0.53,0.78,0.18,0.0,0.06,0.24
Everybody Wants To Rule The World,Tears For Fears,1,1205951614,14296,1,25,0.04,41751,0,112,0.64,0.54,0.81,0.36,0.0,0.11,0.06
In Da Club,50 Cent,1,1202722675,8134,1,7,0.14285714285714285,30427,1,90,0.9,0.79,0.71,0.26,0.0,0.07,0.37
Hope,XXXTENTACION,1,1200808494,2216,0,0,0.0,3659,1,146,0.59,0.23,0.46,0.66,0.0,0.15,0.06
Contection,"GODZZ__-, Zakaria",2,1180896317,1545,0,0,0.0,6955,1,166,0.81,0.83,0.75,0.14,0.0,0.29,0.34
you broke me first,Tate McRae,1,1180094974,1453,0,0,0.0,6638,0,124,0.64,0.08,0.37,0.79,0.0,0.09,0.05
Todo De Ti,Rauw Alejandro,1,1168642797,1254,1,8,0.125,11975,1,128,0.81,0.57,0.63,0.4,0.01,0.1,0.04
Ghost,Justin Bieber,1,1167330737,1117,1,24,0.041666666666666664,5866,0,154,0.61,0.41,0.74,0.21,0.0,0.4,0.06
Set Fire to the Rain,Adele,1,1163620694,4847,1,43,0.023255813953488372,14739,1,108,0.61,0.47,0.68,0.0,0.0,0.13,0.03
Kill Bill,SZA,1,1163093654,488,1,77,0.012987012987012988,8109,0,89,0.64,0.43,0.73,0.05,0.17,0.16,0.04
Last Christmas,Wham!,1,1159176109,14709,0,0,0.0,22153,1,107,0.74,0.88,0.65,0.28,0.0,0.46,0.03
